block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares,was_exit_clean,sender_original_amount_1,sender_original_amount_2,pool_denom_1,pool_original_amount_1,pool_adjustment_amount_1,pool_denom_2,pool_original_amount_2,pool_adjustment_amount_2
4707797,osmo1nygfrjwr5a0vzgdpsnsexkjprcd49vs8md86ck,678,/osmosis.gamm.v1beta1.MsgExitPool,2969181821084416633686766,16234612262368446469,2969165586472154265240297,1,81954906,73059490,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14935812542777,81664626,uosmo,13410044780001,73322177
4707802,osmo1z4v55tku262akr660zv0s7e6f4hghya5c2rcla,1,/osmosis.gamm.v1beta1.MsgExitPool,392587126142844978329020881,39439372041905503811061,392547686770803072825209820,1,534863088,4175079643,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5330700441281,535523107,uosmo,41508561139188,4169957384
4707805,osmo1yeenwv6s757f59076auzyuj70t470lkdgxlzqj,561,/osmosis.gamm.v1beta1.MsgExitPool,1704093041206373602280511,6400952933300278238,1704086640253440302002273,1,2167548366,108777,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,577205704776948,2168113160,uosmo,28952065049,108750
4707810,osmo1h28vncwwarq7f9jm0gmzy37evf3lvgt2ylupx2,560,/osmosis.gamm.v1beta1.MsgExitPool,287258390946830275643787,2581371069417118668,287255809575760858525119,1,338475592,2705629,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,37666011010929,338475582,uosmo,301086025028,2705629
4707826,osmo10szx4rjj949na2ajsyfclzmje44pwqd3v7k0c0,600,/osmosis.gamm.v1beta1.MsgExitPool,70160780882217609434,133204046385999,70160647678171223435,1,210265,5656951,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,110939592756,210624,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,2974525178748,5647297
4707839,osmo19465vhwp242pchpysajlc4gfxyqe24lsr6dc7e,561,/osmosis.gamm.v1beta1.MsgExitPool,1704086640253440302002273,11070622093484357322,1704075569631346817644951,1,3753102961,187920,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,578092968461778,3755588851,uosmo,28907493949,187797
4707855,osmo135xvlsvganznl8hsjnh4vxflqdzyc4zhx6hhg8,678,/osmosis.gamm.v1beta1.MsgExitPool,2969162831484905817263096,68408401471539085446,2969094423083434278177650,1,345225817,307951708,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14930952138255,344003554,uosmo,13414254816838,309059415
4707868,osmo1npuc2enzqhakc45wkref9qa82ha5t5083ewcfv,674,/osmosis.gamm.v1beta1.MsgExitPool,844967305104711724431823,2245046898914771736,844965060057812809660087,1,7046821827117718069,6292821,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,2641695301849276266781688,7018886777588962304,uosmo,2377867310380,6317905
4707872,osmo1npuc2enzqhakc45wkref9qa82ha5t5083ewcfv,678,/osmosis.gamm.v1beta1.MsgExitPool,2969064348444695636660460,65761810370576115747,2968998586634325060544713,1,331860950,296039446,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14930366889588,330692716,uosmo,13414163901419,297110334
4707885,osmo1zyc38m7japaygy40t986yae9x869cjds4ug486,553,/osmosis.gamm.v1beta1.MsgExitPool,289094677179919866359237070672517,14485564069836186494121942168,289080191615850030172742948730349,1,1774278081360,3873728,ibc/9989AD6CCA39D1131523DB0617B50F6442081162294B4795E26746292467B525,35445481755489794,1776054135496,uosmo,77387061232,3877605
