block,code,msg_type,sender,pool_id,share_in,denom_1,amount_1,denom_2,amount_2,denom_3,amount_3,denom_4,amount_4
4712180,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,95388790126231562,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2581,uosmo,687019,,,,
4712186,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,141056021404897758,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,3810,uosmo,1014222,,,,
4712198,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,210297897866516366,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,5673,uosmo,1506245,,,,
4712218,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,313264022965915955,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,8404,uosmo,2235318,,,,
4712230,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,468629021361480214,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,12507,uosmo,3326463,,,,
4712235,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,700777533502115615,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,18615,uosmo,4951075,,,,
4712246,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,1052085449024545063,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,27989,uosmo,7422298,,,,
4712254,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,1580209123805238256,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,41625,uosmo,11064719,,,,
4712261,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,2362967392973189926,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,62166,uosmo,16566374,,,,
4712265,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,2362969292884825294,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,62365,uosmo,16513846,,,,
4712269,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,4708238996819300581,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,123931,uosmo,32992499,,,,
4712275,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,7062536080654572687,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,185878,uosmo,49495722,,,,
4712284,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,10588237531253025275,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,278668,uosmo,74204359,,,,
4712288,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,15874976597630835256,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,417674,uosmo,111288658,,,,
4712298,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,23794239475365185469,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,625842,uosmo,166851427,,,,
4712303,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,35677324508125772910,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,938376,uosmo,250173739,,,,
4712308,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,53496614236017075165,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1406903,uosmo,375142714,,,,
4712314,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,80215542374111716588,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2109698,uosmo,562437544,,,,
4712319,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,120458515737942123541,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,3172437,uosmo,843350565,,,,
4712323,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,180022416017743519574,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,4736206,uosmo,1261427252,,,,
4712328,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,270567597530631911827,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,7117259,uosmo,1895589938,,,,
4712332,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,405698839905980866610,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,10669458,uosmo,2841672320,,,,
4712363,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,95361714986009898958,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2506872,uosmo,668159171,,,,
4712369,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,142992951188675108117,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,3758704,uosmo,1001811060,,,,
4712378,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,214249630183536290343,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,5622207,uosmo,1503230064,,,,
4712382,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,321257030775551068235,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,8428717,uosmo,2253616953,,,,
4712388,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,481701127595867357198,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,12634869,uosmo,3378213487,,,,
4712398,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,721761653497295324642,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,18950306,uosmo,5052720003,,,,
4712429,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,54724977290298092069,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,1435965,uosmo,383316099,,,,
4712435,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,82059432789666610662,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2149864,uosmo,575622032,,,,
4712441,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,123046695307460449693,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,3223412,uosmo,863062445,,,,
4712448,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,184507207190331708433,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,4832974,uosmo,1294019574,,,,
4712453,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,276661306308826042317,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,7245696,uosmo,1940042140,,,,
4712461,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,414453723040342242759,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,10839144,uosmo,2909052453,,,,
